Google Common_x,Test_x,SO_x,IO_x,UI_x,Network_x,Security_x,OpenOffice Documents_x,Database_x,PDF_x,Logging_x,Latex_x,#cols,issue,prNumber,Google Common_y,Test_y,SO_y,IO_y,UI_y,Network_y,Security_y,OpenOffice Documents_y,Database_y,PDF_y,Logging_y,Latex_y
0,1,0,1,0,0,0,0,0,0,0,0,2,5679,5680,1,0,1,0,0,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0,0,2,5653,5671,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,3,4430,5539,1,1,1,1,1,0,0,0,1,0,1,0
0,1,0,1,0,0,0,0,0,0,0,0,2,5532,5533,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0,0,2,5485,5495,0,0,0,1,0,1,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,2,,5471,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0,0,2,,5421,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0,0,2,,5392,1,0,0,1,1,0,0,0,0,0,1,0
0,1,0,0,1,0,0,0,0,0,0,0,2,,5385,0,0,0,0,1,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,1,0,4,5022,5354,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,3,5254,5352,1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,"3152, 4441",5325,1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,,5280,0,0,0,0,1,1,0,0,0,0,1,0
0,1,0,0,1,0,0,0,0,0,0,0,2,,5276,0,1,0,0,0,1,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,4612,5229,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,1,1,1,0,0,0,0,1,0,5,5194,5195,0,1,0,1,0,1,0,0,0,0,1,0
0,1,0,1,0,1,0,0,0,0,1,0,4,4629,5150,0,0,0,0,1,0,0,0,0,0,1,0
1,0,0,1,1,1,0,0,0,0,1,0,5,4816,5101,0,0,0,1,0,0,0,0,0,0,0,0
1,0,0,1,1,0,0,0,0,0,1,0,4,5002,5011,1,1,0,1,0,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,4977,4980,0,1,1,1,1,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0,2,,4976,1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,1,1,0,0,0,0,0,0,3,4913,4965,0,1,0,1,1,1,0,0,0,0,1,0
1,0,0,1,1,0,0,0,0,0,0,0,3,,4962,0,0,1,1,1,1,0,0,0,0,1,0
0,0,0,1,1,1,0,0,0,0,0,0,3,,4935,0,0,0,1,0,0,0,0,0,0,1,0
1,0,0,1,1,1,0,0,0,0,1,0,5,4864,4931,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,4876,1,1,1,1,1,0,1,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,4839,0,0,0,1,0,1,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,4807,1,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,0,0,2,,4799,0,0,0,1,1,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,4760,0,0,0,1,1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,,4758,0,0,0,1,1,0,0,0,0,0,0,0
0,1,0,1,1,1,0,0,0,0,1,0,5,4306,4727,0,0,0,1,1,1,0,0,0,0,1,0
1,0,0,1,1,1,0,0,0,0,1,0,5,,4707,1,0,0,1,1,1,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,4613,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,,4587,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,4443,0,0,0,1,1,1,0,0,0,0,1,0
1,0,0,0,1,0,0,0,0,0,1,0,3,,4429,1,0,0,0,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,4360,4405,1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0,2,,4389,0,0,0,0,1,0,0,0,0,0,0,0
0,0,0,1,0,0,0,0,0,0,1,0,2,,4379,0,1,0,1,0,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,4087 4305,4311,1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,1,0,2,,4291,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,0,0,0,0,0,1,4233,4289,0,0,0,0,1,0,0,0,0,0,0,0
0,1,0,0,0,0,0,0,0,0,0,0,1,,4275,1,1,1,1,1,1,0,0,1,1,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,4259,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0,0,2,,4245,0,0,0,1,1,1,0,0,0,0,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,,4226,0,0,0,0,0,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,4191,0,0,0,1,1,1,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0,2,,4107,1,1,0,1,1,1,0,0,1,0,1,0
0,0,0,0,1,0,0,0,0,0,1,0,2,,4047,0,0,0,0,1,1,0,0,0,0,1,0
0,0,0,1,1,0,0,0,1,0,1,0,4,3994,3996,0,0,0,1,1,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,1,,3984,0,0,0,1,0,0,0,0,0,0,0,1
0,0,0,1,1,1,0,0,0,0,1,0,4,,3979,1,1,0,1,1,1,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,0,0,2,,3887,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,3824,0,1,0,1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,0,0,1,0,2,,3718,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,3690,0,1,0,1,1,1,0,0,0,0,0,0
0,1,0,1,0,0,0,0,0,0,0,0,2,,3665,1,1,0,1,0,1,0,0,0,1,0,0
0,0,0,1,0,1,0,0,0,0,1,0,3,,3578,0,0,0,1,1,0,0,0,1,0,1,0
0,0,0,0,1,1,0,0,0,0,0,0,2,,3512,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,3509,0,0,0,1,0,0,0,0,0,0,1,0
0,0,0,1,0,0,0,0,0,0,0,0,1,,3502,1,0,0,1,1,0,0,0,0,0,1,0
0,0,0,0,1,0,0,0,0,0,0,0,1,,3497,0,0,0,0,1,0,0,0,0,0,1,0
0,0,0,1,1,0,0,0,0,0,1,0,3,,3459,0,0,0,1,1,0,0,0,0,0,1,0
